Tarih,Fiyat,Fon Günlük Getiri,Logaritmik - Fon Günlük Getiri,,,,,
23.07.2024,23.570877,,,,,,,
24.07.2024,23.472402,-0.004177825,-0.004186577,,,,Fon Getirisi:,0.206790057
25.07.2024,23.403549,-0.00293336,-0.002937671,,,,Fon Volatilite:,0.107097765
26.07.2024,23.19223,-0.009029357,-0.009070369,,,,Fon Volatilite (log.):,0.107232635
29.07.2024,23.192564,1.44014E-05,1.44013E-05,,,,(fonbul) Fon Volatilite,0.07040642
30.07.2024,23.017739,-0.007537976,-0.007566531,,,,,
31.07.2024,23.004757,-0.000564,-0.000564159,,,,Ölçüt Getiri,0.206790057
01.08.2024,23.045651,0.001777632,0.001776054,,,,,0.070495084
02.08.2024,23.228496,0.007934035,0.007902726,,,,,
05.08.2024,22.93848,-0.012485354,-0.012563951,,,,Negatif Getirili Gün Sayýsý,111
06.08.2024,22.41164,-0.02296752,-0.023235383,,,,,0.444
07.08.2024,22.372809,-0.001732626,-0.001734129,,,,,
08.08.2024,22.480968,0.004834395,0.004822747,,,,Risksiz Getiri Faiz Oraný,1.1528
09.08.2024,22.559998,0.003515418,0.003509253,,,,Risksiz Getiri Faiz Oraný %,0.011528
12.08.2024,22.516086,-0.001946454,-0.001948351,,,,,
13.08.2024,22.48682,-0.001299782,-0.001300627,,,,Sharpe,2.773355856
14.08.2024,22.589623,0.0045717,0.004561282,,,,,
15.08.2024,22.5603,-0.001298074,-0.001298917,,,,Sortino,0.005123323
16.08.2024,22.690709,0.005780464,0.005763821,,,,,38.1123862
19.08.2024,22.632914,-0.002547078,-0.002550327,,,,,
20.08.2024,22.846498,0.009436876,0.009392627,,,,,
21.08.2024,22.7722,-0.003252052,-0.003257351,,,,,
22.08.2024,22.672853,-0.004362644,-0.004372188,,,,,
23.08.2024,22.54311,-0.005722394,-0.00573883,,,,,
26.08.2024,22.4156,-0.005656274,-0.005672331,,,,,
27.08.2024,22.354028,-0.002746837,-0.002750617,,,,,
28.08.2024,22.536741,0.008173605,0.008140382,,,,,
29.08.2024,22.564877,0.00124845,0.001247672,,,,,
02.09.2024,22.668419,0.004588636,0.00457814,,,,,
03.09.2024,22.850586,0.008036158,0.00800404,,,,,
04.09.2024,22.722418,-0.005608959,-0.005624748,,,,,
05.09.2024,22.761566,0.00172288,0.001721398,,,,,
06.09.2024,22.71106,-0.002218916,-0.002221381,,,,,
09.09.2024,22.583431,-0.005619685,-0.005635535,,,,,
10.09.2024,22.548861,-0.001530768,-0.001531941,,,,,
11.09.2024,22.57508,0.001162764,0.001162088,,,,,
12.09.2024,22.422252,-0.006769766,-0.006792784,,,,,
13.09.2024,22.590209,0.007490639,0.007462724,,,,,
16.09.2024,22.759119,0.007477133,0.007449318,,,,,
17.09.2024,22.713638,-0.001998364,-0.002000363,,,,,
18.09.2024,22.93317,0.009665206,0.009618797,,,,,
19.09.2024,22.982475,0.002149943,0.002147635,,,,,
20.09.2024,23.123483,0.006135458,0.006116712,,,,,
23.09.2024,23.093305,-0.00130508,-0.001305933,,,,,
24.09.2024,23.135305,0.001818709,0.001817057,,,,,
25.09.2024,23.280246,0.006264927,0.006245384,,,,,
26.09.2024,23.126823,-0.006590265,-0.006612077,,,,,
27.09.2024,23.117638,-0.000397158,-0.000397237,,,,,
30.09.2024,23.086506,-0.001346677,-0.001347585,,,,,
01.10.2024,22.912585,-0.007533448,-0.007561968,,,,,
02.10.2024,22.705219,-0.00905031,-0.009091513,,,,,
03.10.2024,22.410071,-0.012999126,-0.013084354,,,,,
04.10.2024,22.290549,-0.005333406,-0.005347679,,,,,
07.10.2024,22.58519,0.013218203,0.013131605,,,,,
08.10.2024,22.435091,-0.006645904,-0.006668086,,,,,
09.10.2024,22.417243,-0.000795539,-0.000795856,,,,,
10.10.2024,22.514176,0.004324038,0.004314716,,,,,
11.10.2024,22.33839,-0.007807792,-0.007838432,,,,,
14.10.2024,22.350657,0.000549144,0.000548994,,,,,
15.10.2024,22.153331,-0.008828644,-0.008867848,,,,,
16.10.2024,22.315913,0.007338941,0.007312142,,,,,
17.10.2024,22.464012,0.006636475,0.006614551,,,,,
18.10.2024,22.505556,0.001849358,0.00184765,,,,,
21.10.2024,22.364568,-0.006264586,-0.006284291,,,,,
22.10.2024,22.33056,-0.00152062,-0.001521777,,,,,
23.10.2024,22.562662,0.010393918,0.010340272,,,,,
24.10.2024,22.384183,-0.00791037,-0.007941823,,,,,
25.10.2024,22.535228,0.006747845,0.00672518,,,,,
28.10.2024,22.578808,0.001933861,0.001931994,,,,,
30.10.2024,22.58354,0.000209577,0.000209555,,,,,
31.10.2024,22.774891,0.008473029,0.008437335,,,,,
01.11.2024,22.599121,-0.00771771,-0.007747645,,,,,
04.11.2024,22.639744,0.001797548,0.001795934,,,,,
05.11.2024,22.353728,-0.012633358,-0.012713838,,,,,
06.11.2024,22.225182,-0.00575054,-0.005767138,,,,,
07.11.2024,22.379959,0.006964037,0.006939901,,,,,
08.11.2024,22.56559,0.008294519,0.008260309,,,,,
11.11.2024,22.792504,0.010055753,0.01000553,,,,,
12.11.2024,22.735944,-0.002481518,-0.002484602,,,,,
13.11.2024,22.747457,0.000506379,0.000506251,,,,,
14.11.2024,22.677911,-0.003057309,-0.003061992,,,,,
15.11.2024,22.779931,0.004498651,0.004488562,,,,,
18.11.2024,22.939629,0.007010469,0.00698601,,,,,
19.11.2024,23.010797,0.003102404,0.003097602,,,,,
20.11.2024,22.930858,-0.003473978,-0.003480026,,,,,
