Fiyat	Fon Günlük Getiri, Logaritmik - Günlük Getiri,	2 Gün Arası Max Fiyat, 	Önceki Günün Zirvesi ile Bugünkü fiyat Karşılaştırması
23.570877			23.570877	0
23.472402	-0.004177825	-0.004186577	23.570877	-0.004177825
23.403549	-0.00293336	-0.002937671	23.570877	-0.00709893
23.19223	-0.009029357	-0.009070369	23.570877	-0.016064188
23.192564	1.44014E-05	1.44013E-05	23.570877	-0.016050018
23.017739	-0.007537976	-0.007566531	23.570877	-0.02346701
23.004757	-0.000564	-0.000564159	23.570877	-0.024017774
23.045651	0.001777632	0.001776054	23.570877	-0.022282837
23.228496	0.007934035	0.007902726	23.570877	-0.014525594
22.93848	-0.012485354	-0.012563951	23.570877	-0.026829591
22.41164	-0.02296752	-0.023235383	23.570877	-0.049180902
22.372809	-0.001732626	-0.001734129	23.570877	-0.050828317
22.480968	0.004834395	0.004822747	23.570877	-0.046239646
22.559998	0.003515418	0.003509253	23.570877	-0.042886779
22.516086	-0.001946454	-0.001948351	23.570877	-0.044749756
22.48682	-0.001299782	-0.001300627	23.570877	-0.045991373
22.589623	0.0045717	0.004561282	23.570877	-0.041629932
22.5603	-0.001298074	-0.001298917	23.570877	-0.042873967
22.690709	0.005780464	0.005763821	23.570877	-0.037341334
22.632914	-0.002547078	-0.002550327	23.570877	-0.039793301
22.846498	0.009436876	0.009392627	23.570877	-0.030731949
22.7722	-0.003252052	-0.003257351	23.570877	-0.03388406
22.672853	-0.004362644	-0.004372188	23.570877	-0.038098879
22.54311	-0.005722394	-0.00573883	23.570877	-0.043603257
22.4156	-0.005656274	-0.005672331	23.570877	-0.049012898
22.354028	-0.002746837	-0.002750617	23.570877	-0.051625105
22.536741	0.008173605	0.008140382	23.570877	-0.043873463
22.564877	0.00124845	0.001247672	23.570877	-0.042679787
22.668419	0.004588636	0.00457814	23.570877	-0.038286993
22.850586	0.008036158	0.00800404	23.570877	-0.030558515
22.722418	-0.005608959	-0.005624748	23.570877	-0.035996073
22.761566	0.00172288	0.001721398	23.570877	-0.03433521
22.71106	-0.002218916	-0.002221381	23.570877	-0.036477938
22.583431	-0.005619685	-0.005635535	23.570877	-0.041892629
22.548861	-0.001530768	-0.001531941	23.570877	-0.043359269
22.57508	0.001162764	0.001162088	23.570877	-0.042246922
22.422252	-0.006769766	-0.006792784	23.570877	-0.048730686
22.590209	0.007490639	0.007462724	23.570877	-0.041605071
22.759119	0.007477133	0.007449318	23.570877	-0.034439024
22.713638	-0.001998364	-0.002000363	23.570877	-0.036368566
