FONKODU,FONGETIRI,FONVOLATILITE,OLCUTGETIRI,OLCUTVOLATILITE,SHARPE,DSHARPE,BETA,ALPHA,TREYNOR,SORTINO,RMD,DOWNSIDERISK,DEGISIMKATSAYISI,RISKDEGERI
AAJ,30.347,7.4538,55.8457,8.4639,3.6668,-2.3942,0.0245,0.104,0,4.2739,2.4425,4.9367,0.2727,4
AAK,22.3798,10.7967,37.0927,8.3226,1.9631,1.0621,1.0451,-0.0509,20.2808,2.5618,3.5379,7.356,0.5094,4
AAL,59.6656,1.9602,55.0365,1.8129,24.3871,203.1106,0.7137,0.0628,66.9827,,0.6423,0,0.041,1
AAS,22.169,19.2034,50.7014,1.686,1.1599,1.0233,-0.8618,0.2317,-25.8464,1.4989,6.2927,13.1116,0.8621,5
AAV,-5.6704,24.5127,-1.6657,25.3838,-0.1195,-0.1235,0.9408,-0.0173,-3.1123,-0.1547,8.0325,18.4277,-8.3716,6
ABU,51.6202,1.99,53.5454,1.7595,21.366,130.7832,1.0002,-0.0051,42.511,39.0361,0.6521,0.2832,0.0468,1
ACC,7.0319,24.1148,0.2371,24.2065,0.4088,0.3687,0.9736,0.0268,10.1248,0.5388,7.9021,17.5452,2.4463,6
ACD,26.7081,13.4182,19.733,14.4043,1.8679,0.9758,0.8969,0.0303,27.9437,2.3947,4.397,9.3746,0.5354,5
ACK,5.1735,21.4893,8.1642,22.8173,0.3476,0.3106,0.8957,-0.0081,8.3392,0.4362,7.0418,16.0594,2.877,6
ACN,25.5103,4.416,25.4538,4.6155,5.2736,-37.0809,0.6937,0.0284,33.5733,13.1956,1.4471,0.8482,0.1896,6
ACU,30.434,4.3936,24.2252,4.6086,6.1947,-46.0106,0.6833,0.0477,39.8316,18.5207,1.4397,0.5539,0.1614,6
ACV,55.0609,1.8191,42.6755,1.0926,24.6329,199.7682,1.5856,-0.0505,28.2608,,0.5961,0,0.0406,1
ACZ,0.2572,6.8025,2.0226,3.2868,1.0877,1.1979,1.1565,-0.2285,6.3982,,2.2291,3.599,0.9193,6
ADE,55.333,1.6495,53.5454,1.7595,27.2721,233.0597,0.8782,0.0259,51.2231,,0.5405,0.0049,0.0367,1
ADP,-3.8124,36.1131,-1.6926,35.767,0.0712,0.071,1.0094,-0.0085,2.5486,0.0988,11.8338,25.8663,14.0382,7
AE1,59.5517,2.0159,56.9223,1.5764,23.6767,181.9066,1.1417,-0.0191,41.8066,0,0.6606,0.1195,0.0422,2
AE2,33.6695,6.8953,33.4657,5.1885,4.3308,-4.8087,1.1935,-0.0217,25.0207,4.4216,2.2595,4.4293,0.2309,3
AE3,20.1042,15.8509,61.9969,1.9835,1.259,0.8228,-0.4236,0.162,-47.1126,1.6348,5.1941,11.2684,0.7943,5
AEB,9.6132,24.4774,3.6765,22.8384,0.5057,0.4451,1.0571,0.0227,11.7105,0.66,8.0209,17.8197,1.9773,6
AEC,42.2208,3.9442,40.8558,3.2264,9.1368,-27.3999,0.945,0.0117,38.1344,9.1474,1.2925,2.1904,0.1094,3
AED,9.7118,16.2311,22.0496,14.0704,0.664,0.5776,1.0734,-0.0481,10.041,0.8736,5.3187,11.7876,1.506,5
AEG,44.7864,4.1385,61.9969,1.9835,9.1511,-28.9363,0.8686,-0.0196,43.5994,8.5264,1.3561,2.3694,0.1093,2
