Fon Kodu,Risk Değeri,Fon Getiri (%),Fon Volatilite (%),Ölçüt Getiri (%),Ölçüt Volatilite (%),Negatif Gün Sayısı,Negatif Gün Oranı (%),Sharpe,Düzeltilmiş Sharpe,Beta,Alpha,Treynor,Sortino,RMD% (1 hafta),Downside Risk,Değişim Katsayısı
AAJ,4,28.4205,7.4500,55.3076,8.4648,99,39.92,3.3386,-1.6424,0.0213,0.0949,0.0000,3.9153,2.4413,4.9870,0.2995
AAK,4,18.5864,10.5609,34.0337,8.2367,111,44.76,1.5406,0.9074,1.0247,-0.0539,15.8773,1.9755,3.4607,7.3581,0.6491
AAS,5,22.0262,19.1497,50.1632,1.6162,107,43.15,1.0621,0.9437,-0.9782,0.2421,-20.7917,1.3705,6.2751,13.0616,0.9415
AAV,6,-12.6826,24.3571,-8.7889,25.3198,130,52.42,-0.5511,-0.6389,0.9373,-0.0206,-14.3204,-0.7127,7.9815,18.6051,-1.8146
ABU,1,51.0238,1.9393,53.0027,1.6815,7,2.82,21.7540,134.3460,1.0107,-0.0070,41.7389,38.7312,0.6355,0.2832,0.0460
ACC,6,-1.0315,24.0520,-6.7623,24.1423,125,50.40,-0.0366,-0.0369,0.9732,0.0226,-0.9047,-0.0482,7.8815,17.7985,-27.3179
ACD,5,20.6145,13.4160,14.3852,14.3917,108,43.55,1.4070,0.9167,0.8996,0.0281,20.9825,1.8092,4.3962,9.5178,0.7107
ACK,6,-1.9290,21.4222,1.1997,22.8061,114,45.97,-0.0646,-0.0659,0.8956,-0.0106,-1.5458,-0.0814,7.0198,16.2275,-15.4739
ACN,6,24.9818,4.3726,25.2815,4.5676,29,11.74,5.2695,-39.9268,0.6915,0.0286,33.3226,13.0558,1.4328,0.8499,0.1898
ACU,6,29.6453,4.3134,24.0580,4.5614,21,8.50,6.2157,-52.7785,0.6744,0.0478,39.7549,18.2441,1.4134,0.5550,0.1609
ACV,1,54.3938,1.7252,42.3993,1.0432,0,0.00,25.7428,247.0964,1.5745,-0.0488,28.2077,,0.5653,0.0000,0.0388
ACZ,6,-0.7169,5.0898,1.0264,1.7100,1,14.29,-7.0993,-30.0823,-2.9749,0.3782,12.1461,,1.6679,4.3017,-0.1409
ADE,1,54.8309,1.5902,53.0027,1.6815,1,0.40,28.0613,256.4141,0.8818,0.0249,50.6061,,0.5211,0.0049,0.0356
ADP,7,-6.5745,36.0716,-4.7600,35.7219,130,52.42,-0.1115,-0.1119,1.0095,-0.0077,-3.9825,-0.1551,11.8202,25.9663,-8.9723
AE1,2,58.9263,1.9348,56.4851,1.5182,3,1.21,24.4897,204.4929,1.1303,-0.0167,41.9215,0.0000,0.6340,0.1195,0.0408
AE2,3,32.0523,6.9254,33.6712,5.2014,79,31.85,4.1083,-3.8702,1.2019,-0.0274,23.6724,4.2528,2.2694,4.4556,0.2434
AE3,5,14.3505,15.7809,61.3170,1.9014,115,46.37,0.8126,0.6309,-0.5653,0.1606,-22.6828,1.0547,5.1712,11.4079,1.2306
AEB,6,1.8357,24.4058,-3.1464,22.7787,119,47.98,0.0765,0.0751,1.0569,0.0201,1.7667,0.0999,7.9975,18.0422,13.0706
AEC,3,40.8843,3.9087,39.7365,3.1809,56,22.58,8.8780,-26.8465,0.9511,0.0109,36.4879,8.8722,1.2808,2.1931,0.1126
AED,5,4.2683,16.0022,17.0691,13.9772,120,48.39,0.2104,0.2011,1.0643,-0.0519,3.1632,0.2750,5.2437,11.8404,4.7532
AEG,2,43.1703,4.0823,61.3170,1.9014,50,20.16,8.9412,-29.6624,0.8392,-0.0181,43.4926,8.2696,1.3377,2.3695,0.1118
AEH,6,-8.7279,24.6309,-3.1464,22.7787,129,52.02,-0.3734,-0.4114,1.0503,-0.0239,-8.7571,-0.4859,8.0712,18.5674,-2.6781
AEI,5,10.0430,14.6114,11.1490,11.6856,117,47.18,0.6462,0.4556,1.2231,-0.0124,7.7195,0.7701,4.7880,10.6921,1.5475
AEK,3,34.5777,6.6029,33.6712,5.2014,85,34.27,4.6048,-2.9256,1.1312,-0.0114,26.8793,5.1853,2.1637,4.0656,0.2172
AEL,6,30.3339,17.9016,25.0699,24.8535,62,46.27,2.7611,4.1115,0.5382,0.1044,91.8482,5.1546,5.8661,10.2627,0.3622
AEN,3,29.4062,7.7377,33.4607,6.0061,99,39.92,3.3473,-4.3739,1.2211,-0.0361,21.2102,3.7171,2.5355,5.3658,0.2987
AEP,5,17.2566,15.1778,,,115,46.37,0.9936,0.8964,,,,1.3017,4.9736,10.8467,1.0065
AEU,6,-6.7646,26.1022,-1.4235,23.5007,127,51.21,-0.2675,-0.2828,1.0936,-0.0229,-6.3840,-0.3610,8.5534,19.4479,-3.7387
AEY,5,13.8895,13.4756,10.6751,11.7028,120,48.58,0.9916,0.3301,1.1000,0.0099,12.1470,1.1783,4.4158,9.8922,1.0085
AEZ,5,7.1348,15.3539,18.2483,12.7981,119,47.98,0.3886,0.3505,1.1013,-0.0478,5.4174,0.4953,5.0313,11.3410,2.5736
AFJ,2,46.2961,3.8075,54.5393,8.4675,42,16.94,10.1534,-44.0168,0.0499,0.1445,0.0000,9.1445,1.2477,2.1027,0.0985
AFO,6,76.0958,19.6175,79.4876,22.1461,102,41.30,2.9945,3.8946,0.7978,0.0395,73.6308,4.7753,6.4284,11.6562,0.3339
AHI,6,-0.6802,24.4289,-9.2653,26.8657,127,51.21,-0.0022,-0.0022,0.8756,0.0314,-0.0616,-0.0030,8.0050,18.0967,-453.1421
AHJ,2,58.7145,1.9117,52.6811,1.4474,3,1.21,24.7173,207.2738,1.1957,-0.0173,39.5172,69.5912,0.6264,0.1390,0.0405
AHN,7,29.6499,4.7001,24.6698,4.5645,69,27.82,5.6414,-42.0792,0.9048,0.0251,29.3046,9.6535,1.5402,1.8698,0.1773
AHU,1,58.8926,1.7593,60.0392,1.6172,0,0.00,26.8942,247.4805,0.0873,0.1713,0.0000,,0.5765,0.0000,0.0372
AHV,4,21.7854,10.8124,,,82,33.06,1.9220,0.3741,,,,1.9819,3.5431,6.9882,0.5203
AHZ,5,14.5294,13.5006,13.5579,14.1256,53,21.37,1.0970,0.2494,0.1426,0.0517,0.0000,0.9212,4.4240,9.1333,0.9116
AIE,5,20.3079,13.6572,43.5542,1.3245,107,43.15,1.3404,0.8254,0.1662,0.0483,0.0000,1.6322,4.4753,9.9255,0.7461
AIG,4,26.8131,8.6371,61.3209,1.9014,52,20.97,2.8615,3.0733,0.6011,-0.0186,41.1153,3.3490,2.8303,4.7878,0.3495
AIH,7,1.2067,30.7156,21.5738,8.1600,141,56.85,0.1674,0.1699,-0.1701,0.0341,-30.2264,0.2766,10.0651,20.1085,5.9723
AII,5,32.6820,4.9276,22.8344,4.5554,65,26.21,5.8313,-28.3625,0.8879,0.0407,32.3609,7.4889,1.6147,2.3852,0.1715
AIM,7,8.0598,31.1013,21.5738,8.1600,142,57.26,0.3716,0.3890,-0.1449,0.0576,-79.7341,0.6392,10.1915,19.8784,2.6911
AIP,5,16.6848,16.1879,44.9675,1.3175,106,42.74,0.9510,0.6174,-0.1495,0.0836,0.0000,1.1359,5.3046,12.0339,1.0516
AIR,5,30.9873,5.2189,22.8344,4.5554,31,12.50,5.3269,-17.3222,0.7300,0.0500,38.0818,7.0279,1.7102,1.6390,0.1877
AIS,1,45.9778,1.7082,43.4856,1.2541,6,2.42,22.6399,134.2700,-0.0510,0.1609,0.0000,27.0850,0.5598,0.2963,0.0442
AJE,6,26.7778,4.5700,29.3778,6.1882,66,26.61,5.2657,-80.9844,0.4626,0.0476,52.0255,14.6574,1.4975,1.1832,0.1899
AJK,6,25.0769,4.5589,23.0478,4.5471,75,30.24,4.9787,-53.3758,0.9530,0.0107,23.8167,11.6185,1.4939,1.4794,0.2009
AJL,6,28.9016,4.5117,27.1132,4.4398,67,27.02,5.7380,-80.4139,0.9985,0.0064,25.9271,14.0026,1.4784,1.2448,0.1743
AJN,6,24.1363,4.5859,23.0478,4.5471,70,28.23,4.7675,-66.4995,1.0075,0.0028,21.6997,12.7296,1.5027,1.2639,0.2098
AJP,5,18.1211,15.6417,56.0759,8.4621,118,47.58,1.0238,0.7173,-0.0229,0.0677,0.0000,1.3335,5.1256,11.2136,0.9768
AJR,6,1.1799,23.2845,55.9839,8.3578,124,50.00,0.0465,0.0457,-0.0154,0.0071,-70.1820,0.0584,7.6300,17.5218,21.5272
AJT,2,41.3202,3.8294,54.5393,8.4675,56,22.58,9.2154,-8.7337,0.0499,0.1312,0.0000,10.4434,1.2548,1.9590,0.1085
AJV,4,24.6295,12.3210,55.3076,8.4648,107,43.15,1.7326,1.0051,-0.0001,0.0847,0.0000,2.2440,4.0374,8.5295,0.5772
AJY,5,19.0047,13.7872,42.7185,1.3980,104,41.94,1.2388,0.7732,0.2639,0.0297,64.7279,1.5146,4.5179,10.0548,0.8073
AJZ,5,13.1186,16.3602,43.7139,1.4258,108,43.55,0.7360,0.4961,0.0007,0.0477,0.0000,0.8579,5.3610,12.3588,1.3586
AK2,5,19.1281,11.4146,25.4118,7.3983,99,39.92,1.6218,0.1253,1.4589,-0.0599,12.6887,1.7364,3.7404,7.9707,0.6166
AK3,6,0.8032,23.9308,-3.1464,22.7787,124,50.00,0.0168,0.0167,1.0316,0.0139,0.3897,0.0224,7.8418,17.6261,59.5251
AKE,6,27.7816,5.0883,31.0010,5.1068,72,29.03,4.8967,-0.3775,0.9219,-0.0012,27.0258,5.7486,1.6674,3.0103,0.2042
AKU,6,-5.6817,25.4798,-1.1923,24.1111,121,48.79,-0.2111,-0.2210,1.0567,-0.0179,-5.0909,-0.2805,8.3494,18.9521,-4.7366
ALC,6,5.2546,23.0394,-1.4235,23.5007,121,48.79,0.2358,0.2247,0.9630,0.0258,5.6408,0.3159,7.5497,16.8856,4.2415
ALE,1,58.4871,1.8563,57.4600,1.5812,0,0.00,25.3757,238.0685,1.1516,-0.0249,40.9030,,0.6083,0.0000,0.0394
ALI,6,-23.7226,25.4217,,,136,54.84,-1.0415,-1.0192,,,,-1.5817,8.3304,18.7873,-0.9602
ALJ,6,1.6789,22.1066,57.6126,8.4570,120,48.39,0.0634,0.0625,-0.0365,0.0124,-38.3808,0.0835,7.2441,16.3377,15.7670
ALR,6,23.4473,15.9735,26.0718,12.7239,106,42.74,1.3108,1.2996,0.6835,0.0193,30.6329,1.7930,5.2343,10.7827,0.7629
ALS,5,14.8990,10.5574,,,115,46.37,1.2374,0.8903,,,,1.5736,3.4595,7.5644,0.8082
ALU,6,-5.7459,25.1728,4.4367,19.0693,130,52.42,-0.2121,-0.2260,1.2974,-0.0430,-4.1146,-0.2708,8.2488,19.0146,-4.7156
ALZ,2,59.8923,1.9421,52.2392,5.1435,3,1.21,24.7218,210.9665,0.0975,0.1739,0.0000,90.4460,0.6364,0.0924,0.0405
AMF,5,13.1535,13.9301,11.1490,11.6856,120,48.39,0.8850,0.5765,1.1623,0.0015,10.6065,1.1150,4.5647,9.9578,1.1300
AMG,6,29.0245,6.3685,32.2910,5.5513,80,32.26,4.0961,-1.9082,1.0327,-0.0127,25.2592,4.4935,2.0869,4.1743,0.2441
AMR,6,30.0247,4.3066,33.0377,4.2811,64,25.81,6.2212,-13.0542,0.8945,0.0035,29.9511,6.9767,1.4112,2.3712,0.1607
AMY,6,25.6400,16.4525,26.0718,12.7239,109,43.95,1.3935,1.3783,0.7021,0.0255,32.6548,1.9084,5.3913,11.0970,0.7176
AMZ,6,77.1305,16.9275,77.8765,22.1309,102,41.13,3.4534,4.9543,0.6457,0.0783,90.5352,5.6580,5.5469,9.7660,0.2896
AN1,5,39.1787,20.2620,61.3170,1.9014,106,42.74,1.7362,1.1509,0.8454,-0.0245,41.6147,2.2186,6.6396,13.5589,0.5760
ANE,4,16.6751,10.6245,24.6326,8.9304,113,45.75,1.4487,0.1700,1.1051,-0.0351,13.9277,1.7159,3.4815,7.7331,0.6903
ANG,4,19.1234,9.7829,23.6159,6.9553,110,44.53,1.8057,-0.8221,1.1372,-0.0262,15.5331,2.0523,3.2057,7.1320,0.5538
ANJ,4,24.5620,12.4224,55.3076,8.4648,112,45.16,1.7270,1.0038,-0.0117,0.0872,0.0000,2.2655,4.0707,8.5220,0.5790
ANK,2,58.3053,1.9965,56.6552,1.4630,2,0.81,23.6255,165.0970,1.1993,-0.0313,39.3300,35.0850,0.6542,0.2701,0.0423
ANL,1,58.7375,1.9066,57.4600,1.5812,3,1.21,24.7914,218.1285,1.1648,-0.0266,40.5792,0.0000,0.6248,0.0631,0.0403
ANP,5,15.9487,15.7299,56.0759,8.4621,116,46.77,0.9054,0.6771,-0.0114,0.0586,0.0000,1.1792,5.1545,11.3498,1.1045
ANS,6,-4.0350,24.0881,-3.6052,22.8200,121,48.99,-0.1403,-0.1466,1.0344,0.0010,-3.2667,-0.1746,7.8934,18.3769,-7.1286
ANZ,6,29.3507,4.6992,23.0478,4.5471,60,24.19,5.5591,-57.4864,0.9641,0.0233,27.0957,10.7379,1.5399,1.6403,0.1799
APG,5,10.0903,15.8342,14.1003,15.3857,117,47.37,0.6504,0.6698,0.9819,-0.0099,10.4886,0.9448,5.1887,11.0012,1.5376
APP,6,49.5845,3.1371,32.9367,4.1635,41,16.53,13.0753,25.7843,0.1003,0.1512,0.0000,23.9439,1.0280,1.1488,0.0765
APT,3,32.9076,6.8115,36.1566,4.5875,60,24.19,4.3011,-11.9524,1.3545,-0.0514,21.6297,3.6021,2.2321,4.7330,0.2325
ARF,5,24.8661,9.5923,53.0027,1.6815,103,41.53,2.3739,0.6208,1.4876,-0.1664,15.3079,2.8961,3.1433,6.6145,0.4212
ARP,6,19.2280,21.5211,53.0027,8.4731,117,47.18,0.7963,0.8211,0.0087,0.0665,0.0000,1.2449,7.0522,14.5298,1.2558
ATJ,6,-13.4900,24.6010,53.0027,8.4731,130,52.42,-0.5936,-0.6991,-0.0206,-0.0544,0.0000,-0.7599,8.0614,18.8201,-1.6848
AUA,3,16.6516,15.1596,53.0027,1.6815,110,44.35,1.0002,0.9759,-0.2578,0.1047,-58.8149,1.3520,4.9676,10.6949,0.9998
AUG,5,32.2579,4.7095,,,78,31.45,6.1013,1.6267,,,,9.4714,1.5432,2.3971,0.1639
AUT,3,41.7137,4.9019,57.6111,1.6563,70,28.23,7.1788,-5.3450,0.8547,-0.0180,41.1709,8.5903,1.6063,2.6521,0.1393
AVB,6,31.7827,6.2745,33.3872,6.1903,75,30.24,4.4744,-1.7793,0.9729,-0.0014,28.8553,4.9563,2.0561,3.8919,0.2235
AVC,7,-23.5593,25.9854,18.9556,18.4471,129,52.23,-1.0040,-1.0357,0.6328,-0.1524,-41.2298,-1.4785,8.5151,19.0144,-0.9961
AVD,5,26.9525,11.7528,31.6151,11.4104,110,44.35,1.9992,1.6351,1.0165,-0.0162,23.1140,2.6705,3.8512,7.9466,0.5002
AVE,6,0.3921,22.4691,61.3170,1.9014,118,47.58,0.0089,0.0088,-0.9465,0.1845,-0.2103,0.0115,7.3628,16.7545,112.8681
AVG,6,30.6876,4.8556,32.5795,4.9933,66,26.61,5.5983,-2.6678,0.9388,0.0014,28.9538,6.7491,1.5911,2.7124,0.1786
AVH,6,-10.9048,25.8810,-9.5322,25.7543,129,52.02,-0.4289,-0.4598,1.0048,-0.0059,-11.0465,-0.5862,8.4809,19.0961,-2.3316
AVJ,1,54.4300,1.7336,42.3993,1.0432,0,0.00,25.6321,244.2753,1.5820,-0.0498,28.0895,,0.5681,0.0000,0.0390
