FONKODU,GETIRI1A,GETIRI3A,GETIRI6A,GETIRIYB,GETIRI1Y,GETIRI3Y,GETIRI5Y,RISKDEGERI
AAJ,2.2741,5.7062,7.0937,0.6946,12.4238,49.8044,,4
AAK,3.6846,6.0194,14.125,1.9694,21.464,81.7148,145.8469,4
AAL,1.324,3.6092,5.8899,0.4984,10.1923,54.9982,87.8312,1
AAS,2.7078,0.6684,7.843,2.2248,23.9227,88.432,151.4132,6
AAV,13.3051,29.6925,37.142,5.5246,43.3526,93.1292,267.8864,6
ABU,1.0814,2.8683,4.5329,0.4183,8.7241,50.9396,79.9472,1
ACC,3.7665,1.172,14.1912,4.8223,27.7328,122.8834,,6
ACD,9.0643,29.2312,34.7409,2.7678,41.2805,74.9627,140.4705,5
ACK,7.9691,26.4889,27.2335,2.1167,26.0256,100.3447,134.641,6
ACN,0.9938,8.652,15.6562,0.3531,20.0601,,,6
ACO,1.0207,2.7681,4.4062,0.3004,9.3495,51.2165,,2
ACU,-4.5687,1.0181,14.0314,-0.2078,42.439,,,6
ACV,1.2885,3.4898,5.8638,0.4463,10.7299,51.0296,,1
ACY,1.179,2.9604,4.731,0.5697,9.7719,55.8123,,
ACZ,0.4616,7.1606,13.6471,-0.1257,23.2989,,,6
ADE,1.2156,3.2796,5.3371,0.4443,9.1013,50.1416,79.0111,1
ADP,7.2584,36.9438,26.2413,1.6773,-8.5514,-3.941,34.4722,7
AE1,1.2463,3.3189,5.6136,0.452,10.3355,58.7719,95.6746,2
AE2,1.2239,3.3652,2.8442,0.1591,7.8235,43.1206,68.3806,3
AE3,6.18,17.669,19.3337,2.9775,21.635,64.9614,111.8852,5
AEB,11.3983,33.1107,34.5434,5.0138,30.9077,93.3371,230.9864,6
AEC,0.7857,4.0081,6.5959,0.0882,11.8687,62.6155,102.461,3
AED,6.062,10.0876,21.4896,2.834,37.6818,-48.61,-40.5548,5
AEE,3.7359,13.1885,17.6677,1.5872,18.3761,60.596,110.4223,
AEG,1.4411,3.6754,5.4919,0.5336,11.0564,58.9829,95.8312,2
AEH,11.3301,32.7565,33.8077,4.9673,29.403,61.8824,161.7725,6
AEI,1.929,6.6246,5.279,-0.2696,6.9912,45.6897,76.3901,5
AEK,1.435,3.6427,3.5442,0.057,9.0192,50.7754,80.6443,3
AEL,-7.0267,-8.9203,9.9027,-2.995,49.5961,165.9701,294.182,6
AEN,1.2019,2.9946,5.3654,0.5833,9.4942,54.1891,88.8956,4
AEP,3.0633,12.2155,21.0345,1.5538,28.2933,86.2699,161.7348,5
AEU,9.6161,26.0363,31.7824,4.7307,39.4514,65.3335,161.6632,6
AEY,1.8681,6.1222,6.0784,-0.199,10.0476,55.8369,85.9611,5
AEZ,4.8816,8.8773,19.0851,2.4389,34.2734,76.4085,147.5485,5
AFJ,1.3756,3.6501,5.5374,0.487,11.0824,54.6672,,2
AFO,-6.0863,-8.8944,8.5523,-3.0348,45.7632,152.6952,268.1168,
